                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.5602,                 4.2065,                 1.4446,                0.85513,                0.81787,                0.83598,                0.58459,                 2.7169,                  11.28,                 2.6511,             0.00037167,             0.00037167,             0.00037167
                     52,                 1.5515,                  4.256,                 1.4209,                 0.8543,                0.80655,                0.84257,                0.57634,                 2.7938,                 11.117,                 2.3883,             0.00036057,             0.00036057,             0.00036057
                     53,                 1.5851,                 4.2854,                  1.447,                0.89565,                0.80324,                0.83916,                0.56564,                 2.8106,                 11.775,                 2.7367,             0.00034947,             0.00034947,             0.00034947
                     54,                 1.5382,                  4.098,                 1.4008,                0.88856,                0.84213,                0.86137,                0.60383,                 2.6372,                 9.5711,                 2.8409,             0.00033838,             0.00033838,             0.00033838
                     55,                  1.551,                 4.1825,                 1.4153,                 0.8943,                0.83434,                0.85597,                0.60074,                 2.6844,                  9.971,                 2.6864,             0.00032731,             0.00032731,             0.00032731
                     56,                 1.5136,                 4.0467,                  1.431,                0.88226,                0.83982,                0.85983,                 0.6026,                 2.6669,                 9.8192,                 2.4359,             0.00031627,             0.00031627,             0.00031627
                     57,                 1.4892,                 4.0639,                 1.3934,                0.89195,                0.82734,                0.85955,                0.61062,                 2.6399,                 10.482,                  2.662,             0.00030528,             0.00030528,             0.00030528
                     58,                 1.4808,                 3.9747,                 1.3485,                0.90858,                0.82084,                0.86938,                0.60653,                 2.6699,                  9.654,                 2.5404,             0.00029434,             0.00029434,             0.00029434
                     59,                 1.5229,                 4.0634,                 1.4256,                0.89849,                0.81747,                  0.865,                0.61472,                 2.7273,                 10.377,                 2.6874,             0.00028347,             0.00028347,             0.00028347
                     60,                 1.4966,                 4.0397,                 1.4852,                 0.8741,                0.84941,                0.85799,                 0.6114,                 2.6589,                 10.128,                 2.4714,             0.00027268,             0.00027268,             0.00027268
                     61,                  1.525,                 4.0023,                 1.4252,                0.88701,                0.83824,                0.85427,                0.59594,                 2.6869,                 10.111,                 2.3701,             0.00026197,             0.00026197,             0.00026197
                     62,                 1.5216,                 4.0328,                 1.4217,                 0.8776,                0.84645,                0.85952,                0.61774,                 2.6559,                 9.8428,                 2.4719,             0.00025135,             0.00025135,             0.00025135
